alloy_id,reference_id,TME,Ti,Nb,Mo,Zr,Sn,Ta,DEF,TEMP,TIME
1,3,56.43,78,14.68,3.08,4.24,0,0,0,0,0
10,8,42,78.43,15.19,0,2.51,3.87,0,0,0,0
11,9,44,50,10,0,30,0,10,0,0,0
12,10,65,71.97,20.14,0,3.25,0,4.64,75,844,0.5
13,10,91,83.05,10.22,2.47,0,0,4.26,75,844,0.5
14,10,76,75.94,19.56,0,0,0,4.5,75,844,0.5
15,10,73,72.61,20.09,2.68,0,0,4.62,75,844,0.5
16,10,62,74.48,19.87,0,0,1.08,4.57,75,844,0.5
17,10,66,72.52,20.29,0,0,2.52,4.67,75,844,0.5
18,10,73,71.43,20.52,0,0,3.33,4.72,75,844,0.5
29,12,57,74.43,25.57,0,0,0,0,0,0,0
46,13,80,84.55,7.65,0,7.8,0,0,75,844,0.5
47,13,51,71.97,20.14,0,3.25,0,4.64,75,844,0.5
48,13,46,83.05,10.22,2.47,0,0,4.26,75,844,0.5
49,13,63,75.94,19.56,0,0,0,4.5,75,844,0.5
50,13,51,72.61,20.09,2.68,0,0,4.62,75,844,0.5
51,13,46,74.48,19.87,0,0,1.07,4.58,75,844,0.5
52,13,54,72.52,20.29,0,0,2.52,4.67,75,844,0.5
53,13,64,71.44,20.52,0,0,3.32,4.72,75,844,0.5
54,14,80,90.6,3.9,5.5,0,0,0,0,900,1
55,15,116,93.75,0,6.25,0,0,0,0,0,0
56,15,92,87.4,6.3,6.3,0,0,0,0,0,0
57,15,80,87.4,0,6.3,6.3,0,0,0,0,0
58,15,70,87.4,0,6.3,0,6.3,0,0,0,0
59,15,75,81.1,6.3,6.3,6.3,0,0,0,0,0
60,15,68,74.9,6.3,6.3,12.5,0,0,0,0,0
61,15,79,68.7,6.3,6.3,18.7,0,0,0,0,0
62,15,48,81.2,6.3,3.1,6.3,3.1,0,0,0,0
63,15,56,75,6.3,3.1,12.5,3.1,0,0,0,0
64,15,72,76.5,11.8,2.9,5.9,2.9,0,0,0,0
65,15,56,77.8,16.7,0,0,5.5,0,0,0,0
66,15,78,91.9,0,8.1,0,0,0,0,0,0
67,15,82,90.1,1.7,8.2,0,0,0,0,0,0
68,15,74,86.7,0,5.6,7.7,0,0,0,0,0
69,15,65,76.3,18.9,0,4.8,0,0,0,0,0
70,15,65,72,20.1,0,3.3,0,4.6,0,0,0
71,15,55,69.3,24,0,4.9,0,1.8,0,0,0
72,15,56,74.3,23,0,2,0,0.7,0,0,0
73,15,42,78.4,15.1,0,2.6,3.9,0,0,0,0
74,16,99,77.8,0,22.2,0,0,0,0,0,0
75,16,116,88.2,0,11.8,0,0,0,0,0,0
76,16,92,78,10.8,11.2,0,0,0,0,0,0
77,16,80,78.2,0,11.2,10.6,0,0,0,0,0
78,16,70,75.8,0,10.8,0,13.4,0,0,0,0
79,16,75,69,10.3,10.6,10.1,0,0,0,0,0
80,16,68,60.8,9.8,10.1,19.3,0,0,0,0,0
82,16,48,68.1,10.2,5.2,10,6.5,0,0,0,0
83,16,56,60,9.7,5,19.1,6.2,0,0,0,0
84,16,83,70.4,19.5,10.1,0,0,0,0,0,0
