,Al,Ti,V,Cr,Mn,Fe,Ni,Zr,Nb,Mo,Ta,Sn,,,,
AN,13,22,23,24,25,26,28,40,41,42,73,50,,,,
QN,3,4,4,4,4,4,4,5,5,5,6,5,,,,
C,13,4,5,6,7,8,10,4,5,6,5,14,,,,
RAM,26.9815,47.867,50.9415,51.9961,54.938,55.8445,58.6934,91.224,92.90364,95.94,180.948,118.71,,,,
VA,1.66,1.764,1.392,1.2,1.22,1.178,1.093,2.328,1.807,1.558,1.801,2.705,,,,
R,1.432,1.462,1.346,1.36,1.304,1.274,1.246,1.602,1.468,1.4,1.467,1.623,,,,
AEN,12,12,14,14,2,14,12,12,14,14,14,3,,,,
VEC,3,4,5,6,7,8,10,4,5,6,5,4,,,,
XMB,1.64,1.86,2.22,2,2.04,1.67,1.76,1.7,2.03,1.94,1.94,1.88,,,,
XP,1.61,1.54,1.63,1.66,1.55,1.83,1.91,1.33,1.6,2.16,1.5,1.96,,,,
XA,9.539,8.17,9.063,9.77,10.34,10.64,11.13,7.808,8.34,8.71,7.93,10.79,,,,
G,26,44,47,115,76.4,82,76,33,38,20,67,18,最终元素特征element.xlsx,,,
E,70,116,128,279,198,211,200,67,105,329,186,50,,,,
FIE,577.6,658,650.3,652.8,717.4,759.3,736.7,660,663.8,684.9,761.3,708.6,,,,
SIE,1817,1310,1414,1592,1509,1561,1753,1267,1382,1558,1563,1412,,,,
TIE,2745,2653,2828,2987,3248,2957,3393,2218,2416,2621,2123,2943,,,,
CPM,4.2,3.8,4.25,4.65,4.45,4.93,5.2,3.45,4.05,4.65,4.05,4.15,,,,
WF,4.3,4.3,4.3,4.5,4.1,4.5,5.1,4,4.3,4.6,4.1,4.4,google pic,,,
NCE,3.5,3.15,3.3,3.35,3.6,3.75,4.05,3,3.3,3.45,3.3,5.65,,,,
CNE,4.07,4.82,4.98,5.13,5.23,5.43,5.71,6.45,6.7,6.98,9.53,9.1,,,,
MT,933,1933,2163,2130,1518,1808,1726,2125,2741,2890,3273,505,,,,
TB,2740,3560,3650,2945,2235,3023,3005,4650,5015,4885,5698,2543,,,,
EV,290.8,425.5,459.7,341.8,220.5,340.2,374.8,566.7,680.19,589.9,758.22,296.2,,,,
EM,10.5,18.8,17.5,21,13.4,13.8,17.2,19.2,26.8,28,24.7,7.07,,,,
EA,326.4,469.9,514.2,396.6,280.7,416.3,429.7,608.8,725.9,658.1,782,302.1,大表,,,
CE,3.39,4.85,5.31,4.1,2.92,4.28,4.44,6.25,7.57,6.82,8.1,3.14,https://www.knowledgedoor.com/2/elements_handbook/cohesive_energy.html,,,
MC,0.722,1.051,1.619,1.901,0.596,1.683,1.86,0.833,1.702,2.725,2,1.11,大表,,,
DVE,2.01,1.81,1.61,1.33,1.26,1.16,2.9,1.96,1.75,1.46,1.7,2.3,,,,
DCE,1.25,0.91,0.86,0.84,0.79,0.73,1.13,0.98,0.95,0.9,0.95,1.41,,,,
D,2.7,4.507,6.11,7.19,7.47,7.874,8.908,6.511,8.57,10.28,16.65,7.31,,,,
